"name","brand","price","discount","update_date","information","id","image","is_published"
"LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE","Estee Lauder",609,0.86,1599396552,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",46684966,"http://dummyimage.com/688x728.png/ff4444/ffffff",True
"Color Me With KidsUV SPF30","Dior",2604,0.15,1643143557,"Maecenas pulvinar lobortis est.",57296994,"http://dummyimage.com/737x663.png/5fa2dd/ffffff",True
"Hydrogen Peroxide","L'Oreal",1516,0.53,1650020656,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",20397894,"http://dummyimage.com/652x289.png/5fa2dd/ffffff",True
"Sun Verbena Protective Gloss Protection","Lancome",3477,0.02,1631885795,"Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.",97765627,"http://dummyimage.com/349x660.png/dddddd/000000",True
"Antispetic","Clarins",345,0.2,1646780143,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",31586585,"http://dummyimage.com/537x617.png/cc0000/ffffff",True
"Sprains Strains","Maybelline New York",1106,0.45,1584661859,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",9285230,"http://dummyimage.com/323x257.png/5fa2dd/ffffff",True
"Professional Therapy Muscle Care Pain Relieving Gel by Dr. Chris Oswald","Guerlain",4978,0.93,1589585394,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",73453295,"http://dummyimage.com/631x357.png/5fa2dd/ffffff",True
"MicroMousse II Alcohol Free Hand Sanitizing Foam","CHANEL",1099,0.04,1614358071,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",10411992,"http://dummyimage.com/448x374.png/ff4444/ffffff",True
"Lyrica","Estee Lauder",4043,0.38,1638689519,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.",92460292,"http://dummyimage.com/468x422.png/ff4444/ffffff",True
"White Mulberry","Dior",3844,0.69,1593121864,"Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.",50830007,"http://dummyimage.com/308x274.png/cc0000/ffffff",True
"Flawless Tinted Moisturizer Light","L'Oreal",300,0.87,1613445376,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",53619777,"http://dummyimage.com/725x348.png/5fa2dd/ffffff",True
"Sciatica - Nerve Care","Lancome",4798,0.06,1585506085,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",8207680,"http://dummyimage.com/407x690.png/dddddd/000000",True
"Ranitidine","Clarins",2403,0.06,1587334099,"Praesent blandit.",59658259,"http://dummyimage.com/275x355.png/5fa2dd/ffffff",True
"Furosemide","Maybelline New York",1171,0.89,1598726632,"Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",4783709,"http://dummyimage.com/325x258.png/cc0000/ffffff",True
"Hamster Epithelium","Guerlain",525,0.5,1594243241,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",91818319,"http://dummyimage.com/493x567.png/cc0000/ffffff",True
"Handy Solutions Kidz Crest","CHANEL",4471,0.89,1598654952,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.",81143849,"http://dummyimage.com/710x349.png/cc0000/ffffff",True
"CHANTECAILLE Ultra Sun Protection Sunscreen Broad Spectrum SPF 30","Estee Lauder",2067,0.85,1605278168,"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",78589301,"http://dummyimage.com/410x675.png/cc0000/ffffff",True
"Lisinopril","Dior",3519,0.58,1645289704,"Fusce consequat. Nulla nisl. Nunc nisl.",26157189,"http://dummyimage.com/712x426.png/5fa2dd/ffffff",True
"Chlorhexidine Gluconate","L'Oreal",300,0.68,1635842797,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",36882231,"http://dummyimage.com/269x593.png/cc0000/ffffff",True
"Alprazolam","Lancome",2853,0.01,1634710119,"Vivamus tortor. Duis mattis egestas metus.",97735739,"http://dummyimage.com/724x352.png/ff4444/ffffff",True
"Clomipramine Hydrochloride","Clarins",3973,0.79,1604031115,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",86449132,"http://dummyimage.com/428x743.png/dddddd/000000",True
"Oxcarbazepine","Maybelline New York",1796,0.49,1637213077,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",73978237,"http://dummyimage.com/738x363.png/5fa2dd/ffffff",True
"Hydrocodone Bitartrate and Acetaminophen","Guerlain",4269,0.15,1637648720,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",53671212,"http://dummyimage.com/392x580.png/cc0000/ffffff",True
"7 Select Night Time Sleep Aid","CHANEL",1123,0.2,1639681007,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",47728543,"http://dummyimage.com/486x463.png/5fa2dd/ffffff",True
"Bedside-Care","Estee Lauder",3745,0.58,1638583519,"Integer non velit.",59657635,"http://dummyimage.com/300x292.png/dddddd/000000",True
"bethanechol chloride","Dior",1557,0.53,1610823063,"Praesent blandit.",68782876,"http://dummyimage.com/363x709.png/5fa2dd/ffffff",True
"HYDROCODONE BITARTRATE AND ACETAMINOPHEN","L'Oreal",4893,0.97,1618303993,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",27480630,"http://dummyimage.com/292x619.png/cc0000/ffffff",True
"BENICAR HCT","Lancome",1519,0.99,1582665982,"Phasellus in felis. Donec semper sapien a libero. Nam dui.",10314266,"http://dummyimage.com/386x574.png/cc0000/ffffff",True
"equaline anti nausea","Clarins",4276,0.48,1599253130,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",97427134,"http://dummyimage.com/636x407.png/ff4444/ffffff",True
"Bacitracin","Maybelline New York",1304,0.22,1622479331,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",13244408,"http://dummyimage.com/540x667.png/5fa2dd/ffffff",True
"AllerguEase Food and Chemical","Guerlain",4558,0.98,1627314295,"Integer ac leo. Pellentesque ultrices mattis odio.",24064519,"http://dummyimage.com/446x562.png/ff4444/ffffff",True
"No7 Protect and Perfect Foundation Sunscreen Broad Spectrum SPF 15 Cool Beige","CHANEL",1233,0.46,1626340228,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",80870143,"http://dummyimage.com/498x661.png/ff4444/ffffff",True
"Fenofibric Acid","Estee Lauder",4079,0.24,1655486163,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",62539087,"http://dummyimage.com/423x280.png/ff4444/ffffff",True
"Bon Balm","Dior",1427,0.92,1605873789,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",71893944,"http://dummyimage.com/491x544.png/5fa2dd/ffffff",True
"ATORVASTATIN CALCIUM","L'Oreal",1286,0.7,1603993278,"Maecenas pulvinar lobortis est.",56282884,"http://dummyimage.com/374x467.png/dddddd/000000",True
"Colgate","L'Oreal",3255,0.66,1642841206,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",30808786,"http://dummyimage.com/459x460.png/dddddd/000000",True
"CANTALOUPE","Lancome",1776,0.53,1604542226,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",20164393,"http://dummyimage.com/314x365.png/dddddd/000000",True
"Miracle Foot Repair","Clarins",3922,0.48,1619903912,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",12866935,"http://dummyimage.com/524x670.png/cc0000/ffffff",True
"Benztropine Mesylate","Maybelline New York",2107,0.09,1621696915,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",12196328,"http://dummyimage.com/597x332.png/5fa2dd/ffffff",True
"Green Relief","Guerlain",2707,0.83,1642107197,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",49252895,"http://dummyimage.com/381x602.png/cc0000/ffffff",True
"Dextroamphetamine saccharate, amphetamine aspartate monohydrate, dextroamphetamine sulfate, amphetamine sulfate","CHANEL",4843,0.19,1624515121,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",74374231,"http://dummyimage.com/627x473.png/ff4444/ffffff",True
"good sense tussin cf","Estee Lauder",469,0.25,1593992649,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",18462450,"http://dummyimage.com/616x427.png/ff4444/ffffff",True
"Thymus Mercurius","Dior",1205,0.75,1642120665,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.",13981444,"http://dummyimage.com/403x710.png/dddddd/000000",True
"Common Sage Pollen","L'Oreal",641,0.37,1607276052,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",47788192,"http://dummyimage.com/718x472.png/ff4444/ffffff",True
"Citrus and Olive Antibacterial Foaming Hand Wash","Lancome",2128,0.07,1613948825,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",10455238,"http://dummyimage.com/556x488.png/cc0000/ffffff",True
"Molds - Mold Mix 4","Clarins",3957,0.3,1651893556,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",87447730,"http://dummyimage.com/425x616.png/ff4444/ffffff",True
"Thiothixene","Guerlain",2369,0.06,1624522394,"In eleifend quam a odio. In hac habitasse platea dictumst.",154608,"http://dummyimage.com/593x746.png/cc0000/ffffff",True
"Neutrogena","CHANEL",4625,0.22,1596148248,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",31731157,"http://dummyimage.com/620x710.png/cc0000/ffffff",True
"Cashew","Estee Lauder",750,0.53,1644853998,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",24109259,"http://dummyimage.com/327x626.png/dddddd/000000",True
"antacid","Dior",2461,0.49,1642768405,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",18577740,"http://dummyimage.com/679x412.png/ff4444/ffffff",True
"Lorazepam","L'Oreal",4370,0.63,1600172716,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",54072268,"http://dummyimage.com/395x736.png/5fa2dd/ffffff",True
"EDURANT","Lancome",2175,0.76,1614707647,"Integer ac neque.",92061485,"http://dummyimage.com/548x490.png/cc0000/ffffff",True
"Amitriptyline Hydrochloride","Clarins",2346,0.62,1580688319,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",2377481,"http://dummyimage.com/599x572.png/dddddd/000000",True
"Levothyroxine Sodium","Maybelline New York",1942,0.1,1631807413,"Nulla ut erat id mauris vulputate elementum. Nullam varius.",13055472,"http://dummyimage.com/541x571.png/5fa2dd/ffffff",True
"Levetiracetam","Guerlain",3631,0.89,1601563939,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",55924622,"http://dummyimage.com/533x262.png/ff4444/ffffff",True
"AVINZA","CHANEL",1636,0.68,1598110872,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.",48781934,"http://dummyimage.com/701x548.png/dddddd/000000",True
"Alumox","Estee Lauder",3721,0.89,1634177879,"Aenean fermentum. Donec ut mauris eget massa tempor convallis.",67283957,"http://dummyimage.com/689x567.png/cc0000/ffffff",True
"Nadolol","Dior",3289,0.02,1621529704,"Integer ac leo. Pellentesque ultrices mattis odio.",48989920,"http://dummyimage.com/687x592.png/cc0000/ffffff",True
"Motion Sickness Relief","L'Oreal",4503,0.22,1647281771,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",55382570,"http://dummyimage.com/659x391.png/dddddd/000000",True
"mally Face Defender Foundation BB","Lancome",4198,0.29,1600062439,"Suspendisse accumsan tortor quis turpis. Sed ante.",28652263,"http://dummyimage.com/697x688.png/cc0000/ffffff",True
"Ciprofloxacin","Clarins",517,0.13,1642647243,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",64374042,"http://dummyimage.com/688x467.png/5fa2dd/ffffff",True
"Motion Sickness","Maybelline New York",4768,0.28,1647862890,"Integer tincidunt ante vel ipsum.",64249555,"http://dummyimage.com/442x407.png/ff4444/ffffff",True
"Pantoprazole Sodium","Guerlain",4451,0.95,1596141670,"Praesent lectus.",24470645,"http://dummyimage.com/265x735.png/5fa2dd/ffffff",True
"Albuterol Sulfate","CHANEL",1475,0.53,1607795942,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",27609563,"http://dummyimage.com/553x675.png/5fa2dd/ffffff",True
"Cerezyme","Estee Lauder",1081,0.09,1595172897,"Pellentesque ultrices mattis odio.",1819231,"http://dummyimage.com/342x425.png/5fa2dd/ffffff",True
"Nortrel","Dior",763,0.53,1607110108,"Nullam varius.",52540254,"http://dummyimage.com/509x601.png/dddddd/000000",True
"Chlorpheniramine Maleate","L'Oreal",697,0.4,1618924745,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",88288249,"http://dummyimage.com/603x623.png/cc0000/ffffff",True
"Sterile Alcohol","Lancome",4767,0.47,1645124918,"Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.",67599098,"http://dummyimage.com/582x365.png/dddddd/000000",True
"Willow Fern","Clarins",3912,0.57,1630041860,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",55669742,"http://dummyimage.com/679x464.png/dddddd/000000",True
"Morphine Sulfate","Maybelline New York",3267,0.53,1590739398,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",76149500,"http://dummyimage.com/577x555.png/5fa2dd/ffffff",True
"Simvastatin","Guerlain",907,0.23,1623489702,"Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",88243415,"http://dummyimage.com/726x253.png/cc0000/ffffff",True
"Sanatos","CHANEL",2541,0.88,1590079156,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",62733277,"http://dummyimage.com/616x351.png/dddddd/000000",True
"Oxygen","Estee Lauder",346,0.89,1605981133,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",93341871,"http://dummyimage.com/500x429.png/5fa2dd/ffffff",True
"Doxycycline Hyclate","Dior",947,0.28,1626455023,"Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.",4621106,"http://dummyimage.com/688x469.png/ff4444/ffffff",True
"Green Tussin SUGAR FREE","L'Oreal",3531,0.55,1646085806,"Proin interdum mauris non ligula pellentesque ultrices.",68921065,"http://dummyimage.com/372x656.png/5fa2dd/ffffff",True
"Med Plus","Lancome",1601,0.22,1620797475,"Nulla ut erat id mauris vulputate elementum.",89030316,"http://dummyimage.com/272x632.png/cc0000/ffffff",True
"PHENYLEPHRINE HYDROCHLORIDE","Clarins",322,0.85,1623299357,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.",13382257,"http://dummyimage.com/383x680.png/ff4444/ffffff",True
"Mefloquine Hydrochloride","Maybelline New York",2589,0.34,1581700511,"Cras non velit nec nisi vulputate nonummy.",72157845,"http://dummyimage.com/525x576.png/ff4444/ffffff",True
"Stem Cell Wrinkle Serum","Guerlain",2600,0.55,1602614767,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.",28767423,"http://dummyimage.com/653x717.png/ff4444/ffffff",True
"Cuprum Stannum Special Order","CHANEL",970,0.53,1596999979,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",60622038,"http://dummyimage.com/494x429.png/ff4444/ffffff",True
"Lidocaine Hydrochloride and Epinephrine","Dior",583,0.7,1650793834,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",48725823,"http://dummyimage.com/639x331.png/dddddd/000000",True
"Dexilant","L'Oreal",930,0.69,1614145173,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",54865008,"http://dummyimage.com/251x591.png/cc0000/ffffff",True
